strain	GeneA	GeneB	GeneC	GeneD	GeneE
pTiOctopine	1	1	1	0	0
PVM 10.5	0	0	1	0	0
"PVM 1,5"	1	1	1	1	0
Q15/94	1	1	1	0	0
R 10.1	1	0	0	1	0
R 1.1	0	0	0	1	0
RO 10.5	0	1	1	1	0
RO 11.4	1	0	1	0	0
RO 1.18	0	0	0	1	0
RO 2.2	1	0	1	1	0
S2/73	0	0	1	0	0
S32/96	0	1	0	1	0
S4	1	1	1	1	1
S7/73	0	1	1	1	0
T155/95	1	0	1	1	0
T267/94	0	1	0	1	0
T268/95	1	0	0	1	0
T393/94	1	1	0	1	0
T5/73	0	0	1	0	0
T60/94	0	0	1	0	0
T90/95	0	0	1	1	0
U167/95	1	0	1	1	0
V80/94	0	1	1	1	0
W10/94	1	0	1	1	0
W 1.1	1	0	0	0	0
W 1.4	1	1	0	0	0
W2/73	0	0	0	1	0
W9/94	0	1	0	0	0
X1/95	1	0	0	0	0
Y2/73	1	1	0	0	0
Y79/96	1	0	0	0	0
YO0101	1	1	0	0	0
Z4/95	1	0	1	1	0
